model,features,accuracy_vs_kaggle,improvement,tuned,params
dt,title,0.78229,0.00718,False,
dt,family_size,0.76794,-0.00717,False,
dt,is_alone,0.77751,0.0024,False,
dt,age_group,0.78468,0.00957,False,
dt,fare_per_person,0.76555,-0.00956,False,
dt,deck,0.77511,0.0,False,
dt,has_cabin,0.77272,-0.00239,False,
dt,is_mother,0.77751,0.0024,False,
dt,sex_pclass,0.77751,0.0024,False,
dt,is_child,0.78468,0.00957,False,
dt,women_children_first,0.78229,0.00718,False,
dt,baseline,0.77511,0.0,False,
