accuracy,model,group
0.79106,dt,FE
0.80112,dt,FE
0.79441,dt,FE
0.8,dt,FE
0.8,dt,FE
0.80447,dt,FE
0.80112,dt,FE
0.8,dt,FE
0.80335,dt,FE
0.8,dt,FE
0.8,dt,FE
0.80447,dt,FE
0.8,dt,FE
0.8,dt,FE
0.8,dt,FE
0.79441,dt,FE
0.78659,dt,FE
0.79553,dt,FE
0.79106,dt,FE
0.79888,dt,FE
0.7933,dt,FE
0.78659,dt,FE
0.79888,dt,FE
0.79218,dt,FE
0.79441,dt,FE
0.80335,dt,FE
0.80335,dt,FE
0.8,dt,FE
0.8,dt,FE
0.79888,dt,FE
0.78994,dt,FE
0.79777,dt,FE
0.79441,dt,FE
0.79218,dt,FE
0.79553,dt,FE
0.7933,dt,FE
0.79553,dt,FE
0.79441,dt,FE
0.7933,dt,FE
0.79665,dt,FE
0.79218,dt,FE
0.79106,dt,FE
0.79553,dt,FE
0.79665,dt,FE
0.78994,dt,FE
0.78101,dt,FE
0.76536,dt,FE
0.78771,dt,FE
0.79888,dt,FE
0.76648,dt,FE
0.78659,dt,FE
0.79777,dt,FE
0.78659,dt,FE
0.78771,dt,FE
0.78994,dt,FE
0.77207,dt,FE
0.78771,dt,FE
0.7933,dt,FE
0.7933,dt,FE
0.78883,dt,FE
0.78771,dt,FE
0.79441,dt,FE
0.78994,dt,FE
0.78994,dt,FE
0.7933,dt,FE
0.79441,dt,FE
0.79441,dt,FE
0.79777,dt,FE
0.79553,dt,FE
0.79665,dt,FE
0.79441,dt,FE
0.79665,dt,FE
0.79553,dt,FE
0.79888,dt,FE
0.79441,dt,FE
0.79553,dt,FE
0.79218,dt,FE
0.7933,dt,FE
0.79441,dt,FE
0.79777,dt,FE
0.79441,dt,FE
0.79553,dt,FE
0.79665,dt,FE
0.7933,dt,FE
0.79777,dt,FE
0.7676,dt,FE
0.78771,dt,FE
0.8,dt,FE
0.78547,dt,FE
0.78883,dt,FE
0.78659,dt,FE
0.78436,dt,FE
0.79218,dt,FE
0.78659,dt,FE
0.78547,dt,FE
0.79441,dt,FE
0.79106,dt,FE
0.78883,dt,FE
0.79553,dt,FE
0.79553,dt,FE
0.79553,dt,FE
0.78771,dt,FE
0.79553,dt,FE
0.79888,dt,FE
0.78771,dt,FE
0.79777,dt,FE
0.8,dt,FE
0.78883,dt,FE
0.79665,dt,FE
0.79888,dt,FE
0.79777,dt,FE
0.79106,dt,FE
0.79106,dt,FE
0.79777,dt,FE
0.79777,dt,FE
0.79106,dt,FE
0.79777,dt,FE
0.79777,dt,FE
0.79106,dt,FE
0.79777,dt,FE
0.76313,dt,FE
0.78883,dt,FE
0.80112,dt,FE
0.78436,dt,FE
0.78994,dt,FE
0.7933,dt,FE
0.78212,dt,FE
0.79106,dt,FE
0.7933,dt,FE
0.78771,dt,FE
0.79888,dt,FE
0.79553,dt,FE
0.79218,dt,FE
0.79777,dt,FE
0.79888,dt,FE
0.80447,dt,FE
0.81006,dt,FE
0.81117,dt,FE
0.80335,dt,FE
0.80894,dt,FE
0.81229,dt,FE
0.80447,dt,FE
0.80782,dt,FE
0.81006,dt,FE
0.81006,dt,FE
0.80223,dt,FE
0.80223,dt,FE
0.8,dt,FE
0.80223,dt,FE
0.80223,dt,FE
0.79665,dt,FE
0.80447,dt,FE
0.80559,dt,FE
0.80335,dt,FE
0.80447,dt,FE
0.80223,dt,FE
0.79218,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79218,dt,FE
0.79553,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79888,dt,FE
0.79441,dt,FE
0.79665,dt,FE
0.79888,dt,FE
0.79888,dt,FE
0.79665,dt,FE
0.79553,dt,FE
0.79106,dt,FE
0.79553,dt,FE
0.79665,dt,FE
0.7933,dt,FE
0.79441,dt,FE
0.79777,dt,FE
0.79218,dt,FE
0.78994,dt,FE
0.79777,dt,FE
0.79441,dt,FE
0.79441,dt,FE
0.79218,dt,FE
0.79777,dt,FE
0.79553,dt,FE
0.79553,dt,FE
0.79665,dt,FE
0.79553,dt,FE
0.79553,dt,FE
0.79777,dt,FE
0.79441,dt,FE
0.79665,dt,FE
0.79106,dt,FE
0.79665,dt,FE
0.78659,dt,FE
0.79218,dt,FE
0.79553,dt,FE
0.78994,dt,FE
0.79106,dt,FE
0.8,dt,FE
0.79888,dt,FE
0.79441,dt,FE
0.79553,dt,FE
0.79888,dt,FE
0.79888,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79777,dt,FE
0.79553,dt,FE
0.79888,dt,FE
0.79106,dt,FE
0.79218,dt,FE
0.79777,dt,FE
0.79106,dt,FE
0.7933,dt,FE
0.79441,dt,FE
0.78994,dt,FE
0.7933,dt,FE
0.79777,dt,FE
0.7933,dt,FE
0.8,dt,FE
0.79553,dt,FE
0.79553,dt,FE
0.79777,dt,FE
0.79777,dt,FE
0.78994,dt,FE
0.78771,dt,FE
0.78883,dt,FE
0.79553,dt,FE
0.79106,dt,FE
0.78771,dt,FE
0.7933,dt,FE
0.79106,dt,FE
0.79218,dt,FE
0.7933,dt,FE
0.79665,dt,FE
0.79888,dt,FE
0.79777,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79777,dt,FE
0.79665,dt,FE
0.79777,dt,FE
0.79888,dt,FE
0.79777,dt,FE
0.78994,dt,FE
0.78883,dt,FE
0.79441,dt,FE
0.78547,dt,FE
0.7933,dt,FE
0.79106,dt,FE
0.78883,dt,FE
0.79553,dt,FE
0.7933,dt,FE
0.79441,dt,FE
0.80112,dt,FE
0.79665,dt,FE
0.80112,dt,FE
0.8,dt,FE
0.8,dt,FE
0.79665,dt,FE
0.7933,dt,FE
0.80112,dt,FE
0.79441,dt,FE
0.80112,dt,FE
0.8,dt,FE
0.79441,dt,FE
0.8,dt,FE
0.8,dt,FE
0.8,dt,FE
0.80335,dt,FE
0.8,dt,FE
0.8,dt,FE
0.8,dt,FE
0.8,dt,FE
0.79106,dt,FE
0.79888,dt,FE
0.7933,dt,FE
0.79888,dt,FE
0.79441,dt,FE
0.8,dt,FE
0.78994,dt,FE
0.7933,dt,FE
0.79441,dt,FE
0.79888,dt,FE
0.79441,dt,FE
0.79218,dt,FE
0.79553,dt,FE
0.79553,dt,FE
0.7933,dt,FE
0.79777,dt,FE
0.79553,dt,FE
0.79441,dt,FE
0.7933,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.78994,dt,FE
0.79553,dt,FE
0.79665,dt,FE
0.78994,dt,FE
0.79665,dt,FE
0.76536,dt,FE
0.78771,dt,FE
0.79888,dt,FE
0.78436,dt,FE
0.79441,dt,FE
0.79106,dt,FE
0.78659,dt,FE
0.78771,dt,FE
0.78994,dt,FE
0.78771,dt,FE
0.7933,dt,FE
0.78883,dt,FE
0.78771,dt,FE
0.79553,dt,FE
0.7933,dt,FE
0.79441,dt,FE
0.79777,dt,FE
0.79553,dt,FE
0.79888,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79553,dt,FE
0.79888,dt,FE
0.79441,dt,FE
0.79665,dt,FE
0.79441,dt,FE
0.79777,dt,FE
0.79441,dt,FE
0.79665,dt,FE
0.79777,dt,FE
0.78547,dt,FE
0.78883,dt,FE
0.78659,dt,FE
0.78883,dt,FE
0.78547,dt,FE
0.79553,dt,FE
0.78771,dt,FE
0.79553,dt,FE
0.79888,dt,FE
0.78883,dt,FE
0.7933,dt,FE
0.79553,dt,FE
0.78883,dt,FE
0.79665,dt,FE
0.79888,dt,FE
0.79441,dt,FE
0.79777,dt,FE
0.79777,dt,FE
0.79106,dt,FE
0.79777,dt,FE
0.79777,dt,FE
0.78436,dt,FE
0.78994,dt,FE
0.7933,dt,FE
0.78994,dt,FE
0.78771,dt,FE
0.79777,dt,FE
0.80335,dt,FE
0.80894,dt,FE
0.81229,dt,FE
0.80894,dt,FE
0.81006,dt,FE
0.80223,dt,FE
0.80335,dt,FE
0.79218,dt,FE
0.79106,dt,FE
0.79441,dt,FE
0.79888,dt,FE
0.79665,dt,FE
0.79218,dt,FE
0.79553,dt,FE
0.78994,dt,FE
0.79441,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79777,dt,FE
0.79553,dt,FE
0.79888,dt,FE
0.79888,dt,FE
0.79665,dt,FE
0.79777,dt,FE
0.79106,dt,FE
0.79553,dt,FE
0.79665,dt,FE
0.79218,dt,FE
0.79665,dt,FE
0.79888,dt,FE
0.79218,dt,FE
0.78994,dt,FE
0.79777,dt,FE
0.7933,dt,FE
0.79777,dt,FE
0.79553,dt,FE
0.79553,dt,FE
0.79553,dt,FE
0.79777,dt,FE
0.79665,dt,FE
0.79106,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79218,dt,FE
0.79777,dt,FE
0.78994,dt,FE
0.79106,dt,FE
0.8,dt,FE
0.78883,dt,FE
0.79888,dt,FE
0.79888,dt,FE
0.79665,dt,FE
0.79888,dt,FE
0.79888,dt,FE
0.79106,dt,FE
0.7933,dt,FE
0.79441,dt,FE
0.79441,dt,FE
0.7933,dt,FE
0.79777,dt,FE
0.78771,dt,FE
0.78883,dt,FE
0.79553,dt,FE
0.78659,dt,FE
0.79218,dt,FE
0.79106,dt,FE
0.79106,dt,FE
0.79218,dt,FE
0.7933,dt,FE
0.79218,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.79777,dt,FE
0.79665,dt,FE
0.79777,dt,FE
0.78547,dt,FE
0.7933,dt,FE
0.79106,dt,FE
0.79106,dt,FE
0.79441,dt,FE
0.8,dt,FE
0.79441,dt,FE
0.80112,dt,FE
0.8,dt,FE
0.80335,dt,FE
0.8,dt,FE
0.8,dt,FE
0.79888,dt,FE
0.7933,dt,FE
0.79441,dt,FE
0.79888,dt,FE
0.79441,dt,FE
0.8,dt,FE
0.79665,dt,FE
0.79553,dt,FE
0.7933,dt,FE
0.79777,dt,FE
0.79777,dt,FE
0.79665,dt,FE
0.79665,dt,FE
0.78994,dt,FE
0.79553,dt,FE
0.79665,dt,FE
0.78436,dt,FE
0.79441,dt,FE
0.79106,dt,FE
