model,feature_num,baseline,kaggle_score,improvement,tuned,params
cb,"3, 10, 11",0.77751,0.78708,0.00956,0,
cb,"4, 5, 6",0.77751,0.77272,-0.00479,0,
cb,"4, 5, 7",0.77751,0.77511,-0.0024,0,
cb,"4, 5, 8",0.77751,0.77033,-0.00718,0,
cb,"4, 5, 9",0.77751,0.77511,-0.0024,0,
cb,"4, 5, 10",0.77751,0.77033,-0.00718,0,
cb,"4, 5, 11",0.77751,0.79186,0.01434,0,
cb,"4, 6, 7",0.77751,0.77511,-0.0024,0,
cb,"4, 6, 8",0.77751,0.77751,0.0,0,
cb,"4, 6, 9",0.77751,0.77751,0.0,0,
cb,"4, 6, 10",0.77751,0.77511,-0.0024,0,
cb,"4, 6, 11",0.77751,0.79186,0.01434,0,
cb,"4, 7, 8",0.77751,0.78468,0.00717,0,
cb,"4, 7, 9",0.77751,0.78468,0.00717,0,
cb,"4, 7, 10",0.77751,0.78468,0.00717,0,
cb,"4, 7, 11",0.77751,0.79186,0.01434,0,
cb,"4, 8, 9",0.77751,0.78468,0.00717,0,
cb,"4, 8, 10",0.77751,0.78468,0.00717,0,
cb,"4, 8, 11",0.77751,0.78947,0.01195,0,
cb,"4, 9, 10",0.77751,0.78468,0.00717,0,
cb,"4, 9, 11",0.77751,0.79186,0.01434,0,
cb,"4, 10, 11",0.77751,0.79186,0.01434,0,
cb,"5, 6, 7",0.77751,0.76076,-0.01675,0,
cb,"5, 6, 8",0.77751,0.78708,0.00956,0,
cb,"5, 6, 9",0.77751,0.78708,0.00956,0,
cb,"5, 6, 10",0.77751,0.76076,-0.01675,0,
cb,"5, 6, 11",0.77751,0.78229,0.00478,0,
cb,"5, 7, 8",0.77751,0.77511,-0.0024,0,
cb,"5, 7, 9",0.77751,0.77272,-0.00479,0,
cb,"5, 7, 10",0.77751,0.76076,-0.01675,0,
cb,"5, 7, 11",0.77751,0.7799,0.00239,0,
cb,"5, 8, 9",0.77751,0.7799,0.00239,0,
cb,"5, 8, 10",0.77751,0.77272,-0.00479,0,
cb,"5, 8, 11",0.77751,0.78229,0.00478,0,
cb,"5, 9, 10",0.77751,0.77272,-0.00479,0,
cb,"5, 9, 11",0.77751,0.79904,0.02152,0,
cb,"5, 10, 11",0.77751,0.78708,0.00956,0,
cb,"6, 7, 8",0.77751,0.77272,-0.00479,0,
cb,"6, 7, 9",0.77751,0.77272,-0.00479,0,
cb,"6, 7, 10",0.77751,0.76315,-0.01436,0,
cb,"6, 7, 11",0.77751,0.7799,0.00239,0,
cb,"6, 8, 9",0.77751,0.77272,-0.00479,0,
cb,"6, 8, 10",0.77751,0.77272,-0.00479,0,
cb,"6, 8, 11",0.77751,0.78947,0.01195,0,
cb,"6, 9, 10",0.77751,0.77272,-0.00479,0,
cb,"6, 9, 11",0.77751,0.79186,0.01434,0,
cb,"6, 10, 11",0.77751,0.7799,0.00239,0,
cb,"7, 8, 9",0.77751,0.78468,0.00717,0,
cb,"7, 8, 10",0.77751,0.78468,0.00717,0,
cb,"7, 8, 11",0.77751,0.78947,0.01195,0,
cb,"7, 9, 10",0.77751,0.78468,0.00717,0,
cb,"7, 9, 11",0.77751,0.79186,0.01434,0,
cb,"7, 10, 11",0.77751,0.78229,0.00478,0,
