model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
xgb,0,"2, 4, 9",0.78547,0.78994,0.03343,0.00446,,"[0.80446927, 0.76536313, 0.75977654, 0.84916201, 0.77094972]"
xgb,0,"2, 4, 10",0.78547,0.79106,0.03288,0.00558,,"[0.80446927, 0.76536313, 0.75977654, 0.84916201, 0.77653631]"
xgb,0,"2, 5, 6",0.78547,0.78101,0.03027,-0.00446,,"[0.79888268, 0.74301676, 0.75418994, 0.82681564, 0.78212291]"
xgb,0,"2, 5, 7",0.78547,0.78212,0.02998,-0.00334,,"[0.78770950, 0.74860335, 0.75418994, 0.83240223, 0.78770950]"
xgb,0,"2, 5, 8",0.78547,0.77095,0.02782,-0.01451,,"[0.77653631, 0.74301676, 0.74860335, 0.82122905, 0.76536313]"
xgb,0,"2, 5, 9",0.78547,0.79218,0.03148,0.0067,,"[0.80446927, 0.75418994, 0.76536313, 0.84357542, 0.79329609]"
xgb,0,"2, 5, 10",0.78547,0.79441,0.02901,0.00893,,"[0.81005587, 0.75977654, 0.76536313, 0.83798883, 0.79888268]"
xgb,0,"2, 6, 7",0.78547,0.76648,0.02273,-0.01898,,"[0.76536313, 0.75977654, 0.74860335, 0.81005587, 0.74860335]"
xgb,0,"2, 6, 8",0.78547,0.76648,0.02381,-0.01898,,"[0.77094972, 0.75977654, 0.74860335, 0.81005587, 0.74301676]"
xgb,0,"2, 6, 9",0.78547,0.78883,0.03645,0.00336,,"[0.79888268, 0.75977654, 0.75418994, 0.85474860, 0.77653631]"
xgb,0,"2, 6, 10",0.78547,0.78547,0.02862,0.0,,"[0.79329609, 0.76536313, 0.77094972, 0.83798883, 0.75977654]"
xgb,0,"2, 7, 8",0.78547,0.76872,0.02488,-0.01675,,"[0.77094972, 0.75977654, 0.74860335, 0.81564246, 0.74860335]"
xgb,0,"2, 7, 9",0.78547,0.78547,0.03052,0.0,,"[0.79888268, 0.75977654, 0.75418994, 0.83798883, 0.77653631]"
xgb,0,"2, 7, 10",0.78547,0.78659,0.03068,0.00112,,"[0.79329609, 0.76536313, 0.77094972, 0.84357542, 0.75977654]"
xgb,0,"2, 8, 9",0.78547,0.78883,0.03415,0.00336,,"[0.80446927, 0.76536313, 0.75977654, 0.84916201, 0.76536313]"
xgb,0,"2, 8, 10",0.78547,0.78771,0.031,0.00224,,"[0.79888268, 0.76536313, 0.77094972, 0.84357542, 0.75977654]"
xgb,0,"2, 9, 10",0.78547,0.78771,0.03389,0.00224,,"[0.79888268, 0.75977654, 0.75977654, 0.84916201, 0.77094972]"
xgb,0,"3, 4, 5",0.78547,0.80782,0.0435,0.02234,,"[0.80446927, 0.75977654, 0.77094972, 0.88268156, 0.82122905]"
xgb,0,"3, 4, 6",0.78547,0.78771,0.02422,0.00224,,"[0.79888268, 0.78212291, 0.75418994, 0.82681564, 0.77653631]"
