model,group,score
cb,baseline,0.79329609
cb,baseline,0.8258427
cb,baseline,0.80898876
cb,baseline,0.80337079
cb,baseline,0.86516854
cb,feature_eng,0.82155
cb,feature_eng,0.80026
cb,feature_eng,0.79242
cb,feature_eng,0.82492
cb,feature_eng,0.80586
cb,feature_eng,0.8025
cb,feature_eng,0.80585
cb,feature_eng,0.81033
cb,feature_eng,0.81146
cb,feature_eng,0.82604
cb,feature_eng,0.82604
