model,group,score
xgb,baseline,0.81564246
xgb,baseline,0.81460674
xgb,baseline,0.81460674
xgb,baseline,0.80337079
xgb,baseline,0.85393258
xgb,feature_eng,0.81596
xgb,feature_eng,0.79129
xgb,feature_eng,0.79017
xgb,feature_eng,0.82157
xgb,feature_eng,0.79576
xgb,feature_eng,0.80475
xgb,feature_eng,0.80361
xgb,feature_eng,0.80473
xgb,feature_eng,0.81146
xgb,feature_eng,0.82604
xgb,feature_eng,0.82492
