model,group,score
lgbm,baseline,0.79888268
lgbm,baseline,0.81460674
lgbm,baseline,0.85393258
lgbm,baseline,0.81460674
lgbm,baseline,0.83707865
lgbm,feature_eng,0.82716
lgbm,feature_eng,0.79129
lgbm,feature_eng,0.79017
lgbm,feature_eng,0.82157
lgbm,feature_eng,0.80248
lgbm,feature_eng,0.80475
lgbm,feature_eng,0.80361
lgbm,feature_eng,0.80921
lgbm,feature_eng,0.81146
lgbm,feature_eng,0.82157
lgbm,feature_eng,0.82604
