model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
rf,1,"1, 3, 5, 6, 7, 8, 10",0.79106,0.81006,0.02977,0.019,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.80446927, 0.78770950, 0.78212291, 0.86592179, 0.81005587]"
rf,1,"1, 3, 5, 6, 7, 9, 10",0.79106,0.80559,0.03469,0.01453,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.79329609, 0.78770950, 0.77094972, 0.87150838, 0.80446927]"
rf,1,"1, 3, 5, 6, 8, 9, 10",0.79106,0.80782,0.03326,0.01675,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.79888268, 0.78770950, 0.77653631, 0.87150838, 0.80446927]"
rf,1,"1, 3, 5, 7, 8, 9, 10",0.79106,0.80894,0.03227,0.01788,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.79888268, 0.78770950, 0.78212291, 0.87150838, 0.80446927]"
rf,1,"1, 3, 6, 7, 8, 9, 10",0.79106,0.80223,0.01922,0.01117,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 20, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.80446927, 0.79329609, 0.78212291, 0.83798883, 0.79329609]"
rf,1,"1, 4, 5, 6, 7, 8, 9",0.79106,0.81117,0.03068,0.0201,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.79329609, 0.78770950, 0.80446927, 0.87150838, 0.79888268]"
rf,1,"1, 4, 5, 6, 7, 8, 10",0.79106,0.82011,0.03227,0.02905,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.81564246, 0.79888268, 0.81005587, 0.88268156, 0.79329609]"
rf,1,"1, 4, 5, 6, 7, 9, 10",0.79106,0.82123,0.02691,0.03017,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.82122905, 0.79329609, 0.81564246, 0.87150838, 0.80446927]"
rf,1,"1, 4, 5, 6, 8, 9, 10",0.79106,0.82346,0.02883,0.03239,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.82122905, 0.79329609, 0.82122905, 0.87709497, 0.80446927]"
rf,1,"1, 4, 5, 7, 8, 9, 10",0.79106,0.82123,0.0276,0.03017,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.82122905, 0.79329609, 0.82122905, 0.87150838, 0.79888268]"
rf,1,"1, 4, 6, 7, 8, 9, 10",0.79106,0.80447,0.01694,0.01341,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 20, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.79888268, 0.79329609, 0.79888268, 0.83798883, 0.79329609]"
rf,1,"1, 5, 6, 7, 8, 9, 10",0.79106,0.81676,0.03068,0.0257,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.79888268, 0.79329609, 0.81005587, 0.87709497, 0.80446927]"
