model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
cb,1,"2, 3, 4, 6, 7, 9, 10",0.81006,0.79441,0.03302,-0.01565,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'SymmetricTree', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.80446927, 0.77094972, 0.76536313, 0.85474860, 0.77653631]"
cb,1,"2, 3, 4, 6, 8, 9, 10",0.81006,0.79441,0.03188,-0.01565,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'SymmetricTree', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.81005587, 0.77653631, 0.77653631, 0.84916201, 0.75977654]"
cb,1,"2, 3, 4, 7, 8, 9, 10",0.81006,0.79441,0.03451,-0.01565,"{'scale_pos_weight': 1, 'random_strength': 0.5, 'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 300, 'grow_policy': 'Depthwise', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.7}","[0.81005587, 0.77094972, 0.77653631, 0.85474860, 0.75977654]"
cb,1,"2, 3, 5, 6, 7, 8, 9",0.81006,0.79888,0.0158,-0.01117,"{'scale_pos_weight': 2, 'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'Lossguide', 'depth': 4, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.79329609, 0.78770950, 0.80446927, 0.82681564, 0.78212291]"
cb,1,"2, 3, 5, 6, 7, 8, 10",0.81006,0.79777,0.01634,-0.01229,"{'scale_pos_weight': 2, 'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'Lossguide', 'depth': 4, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.78770950, 0.78770950, 0.80446927, 0.82681564, 0.78212291]"
cb,1,"2, 3, 5, 6, 7, 9, 10",0.81006,0.79888,0.03621,-0.01117,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.05, 'l2_leaf_reg': 10, 'iterations': 600, 'grow_policy': 'SymmetricTree', 'depth': 6, 'border_count': 32, 'bootstrap_type': 'MVS', 'bagging_temperature': 1}","[0.79888268, 0.77653631, 0.75977654, 0.86592179, 0.79329609]"
cb,1,"2, 3, 5, 6, 8, 9, 10",0.81006,0.80559,0.03265,-0.00446,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.05, 'l2_leaf_reg': 10, 'iterations': 600, 'grow_policy': 'SymmetricTree', 'depth': 6, 'border_count': 32, 'bootstrap_type': 'MVS', 'bagging_temperature': 1}","[0.81005587, 0.79329609, 0.77094972, 0.86592179, 0.78770950]"
cb,1,"2, 3, 5, 7, 8, 9, 10",0.81006,0.80223,0.03544,-0.00783,"{'scale_pos_weight': 2, 'random_strength': 0.5, 'learning_rate': 0.05, 'l2_leaf_reg': 10, 'iterations': 1000, 'grow_policy': 'Depthwise', 'depth': 8, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 1}","[0.82122905, 0.75977654, 0.77653631, 0.86033520, 0.79329609]"
cb,1,"2, 3, 6, 7, 8, 9, 10",0.81006,0.7933,0.031,-0.01675,"{'scale_pos_weight': 1, 'random_strength': 2, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'SymmetricTree', 'depth': 10, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.80446927, 0.77653631, 0.77094972, 0.84916201, 0.76536313]"
cb,1,"2, 4, 5, 6, 7, 8, 9",0.81006,0.80559,0.02072,-0.00446,"{'scale_pos_weight': 1, 'random_strength': 1, 'learning_rate': 0.03, 'l2_leaf_reg': 1, 'iterations': 800, 'grow_policy': 'Depthwise', 'depth': 6, 'border_count': 128, 'bootstrap_type': 'MVS', 'bagging_temperature': 1}","[0.81564246, 0.79329609, 0.77653631, 0.83798883, 0.80446927]"
