model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
lgbm,0,"6, 10",0.78994,0.78994,0.02463,0.0,,"[0.79888268, 0.78212291, 0.77653631, 0.83240223, 0.75977654]"
lgbm,0,"6, 11",0.78994,0.78547,0.02386,-0.00446,,"[0.78212291, 0.77094972, 0.77094972, 0.83240223, 0.77094972]"
lgbm,0,"7, 8",0.78994,0.79218,0.01193,0.00224,,"[0.79888268, 0.79329609, 0.77653631, 0.81005587, 0.78212291]"
lgbm,0,"7, 9",0.78994,0.80223,0.0168,0.01229,,"[0.79888268, 0.79329609, 0.80446927, 0.83240223, 0.78212291]"
lgbm,0,"7, 10",0.78994,0.79106,0.01922,0.00112,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,0,"7, 11",0.78994,0.78883,0.0198,-0.0011,,"[0.78770950, 0.77094972, 0.77653631, 0.82681564, 0.78212291]"
lgbm,0,"8, 9",0.78994,0.79665,0.01955,0.0067,,"[0.79888268, 0.79329609, 0.77653631, 0.83240223, 0.78212291]"
lgbm,0,"8, 10",0.78994,0.79218,0.01193,0.00224,,"[0.79888268, 0.79329609, 0.77653631, 0.81005587, 0.78212291]"
lgbm,0,"8, 11",0.78994,0.78994,0.02167,0.0,,"[0.79329609, 0.77094972, 0.76536313, 0.82681564, 0.79329609]"
lgbm,0,"9, 10",0.78994,0.80223,0.0168,0.01229,,"[0.79888268, 0.79329609, 0.80446927, 0.83240223, 0.78212291]"
lgbm,0,"9, 11",0.78994,0.79441,0.02072,0.00446,,"[0.79329609, 0.77094972, 0.79329609, 0.83240223, 0.78212291]"
lgbm,0,"10, 11",0.78994,0.78883,0.0198,-0.0011,,"[0.78770950, 0.77094972, 0.77653631, 0.82681564, 0.78212291]"
lgbm,0,"1, 2, 3",0.78994,0.79441,0.02328,0.00446,,"[0.79888268, 0.77653631, 0.78212291, 0.83798883, 0.77653631]"
